Data; Wartość; Rodzaj;
2023-10-07 11:00;0,0000;pobrana [kWh];
2023-10-07 11:15;0,0000;pobrana [kWh];
2023-10-07 11:30;0,0000;pobrana [kWh];
2023-10-07 11:45;0,0000;pobrana [kWh];
2023-10-07 12:00;0,0000;pobrana [kWh];
2023-10-07 12:15;0,0000;pobrana [kWh];
2023-10-07 12:30;0,0000;pobrana [kWh];
2023-10-07 12:45;0,0000;pobrana [kWh];
2023-10-07 13:00;0,0000;pobrana [kWh];
2023-10-07 13:15;0,0000;pobrana [kWh];
2023-10-07 13:30;0,0000;pobrana [kWh];
2023-10-07 13:45;0,0000;pobrana [kWh];
2023-10-07 14:00;0,0000;pobrana [kWh];
2023-10-07 14:15;0,0000;pobrana [kWh];
2023-10-07 14:30;0,0000;pobrana [kWh];
2023-10-07 14:45;0,0000;pobrana [kWh];
2023-10-07 15:00;0,0000;pobrana [kWh];
2023-10-07 15:15;0,0000;pobrana [kWh];
2023-10-07 15:30;0,0000;pobrana [kWh];
2023-10-07 15:45;0,0000;pobrana [kWh];
2023-10-07 16:00;0,0000;pobrana [kWh];
2023-10-07 16:15;0,0000;pobrana [kWh];
2023-10-07 16:30;0,0000;pobrana [kWh];
2023-10-07 16:45;0,0000;pobrana [kWh];
2023-10-07 17:00;0,0000;pobrana [kWh];
2023-10-07 17:15;0,0000;pobrana [kWh];
2023-10-07 17:30;0,0020;pobrana [kWh];
2023-10-07 17:45;0,0190;pobrana [kWh];
2023-10-07 18:00;0,0280;pobrana [kWh];
2023-10-07 18:15;0,0220;pobrana [kWh];
2023-10-07 18:30;0,0210;pobrana [kWh];
2023-10-07 18:45;0,0210;pobrana [kWh];
2023-10-07 19:00;0,0200;pobrana [kWh];
2023-10-07 19:15;0,0190;pobrana [kWh];
2023-10-07 19:30;0,0200;pobrana [kWh];
2023-10-07 19:45;0,0230;pobrana [kWh];
2023-10-07 20:00;0,0300;pobrana [kWh];
2023-10-07 20:15;0,0200;pobrana [kWh];
2023-10-07 20:30;0,0190;pobrana [kWh];
2023-10-07 20:45;0,0190;pobrana [kWh];
2023-10-07 21:00;0,0200;pobrana [kWh];
2023-10-07 21:15;0,0190;pobrana [kWh];
2023-10-07 21:30;0,0200;pobrana [kWh];
2023-10-07 21:45;0,0240;pobrana [kWh];
2023-10-07 22:00;0,0300;pobrana [kWh];
2023-10-07 22:15;0,0230;pobrana [kWh];
2023-10-07 22:30;0,0190;pobrana [kWh];
2023-10-07 22:45;0,0200;pobrana [kWh];
2023-10-07 23:00;0,0200;pobrana [kWh];
2023-10-07 23:15;0,0200;pobrana [kWh];
2023-10-07 23:30;0,0190;pobrana [kWh];
2023-10-07 23:45;0,0200;pobrana [kWh];
2023-10-08 00:00;0,0290;pobrana [kWh];
2023-10-08 00:15;0,0260;pobrana [kWh];
2023-10-08 00:30;0,0200;pobrana [kWh];
2023-10-08 00:45;0,0200;pobrana [kWh];
2023-10-08 01:00;0,0190;pobrana [kWh];
2023-10-08 01:15;0,0200;pobrana [kWh];
2023-10-08 01:30;0,0200;pobrana [kWh];
2023-10-08 01:45;0,0200;pobrana [kWh];
2023-10-08 02:00;0,0250;pobrana [kWh];
2023-10-08 02:15;0,0300;pobrana [kWh];
2023-10-08 02:30;0,0200;pobrana [kWh];
2023-10-08 02:45;0,0200;pobrana [kWh];
2023-10-08 03:00;0,0200;pobrana [kWh];
2023-10-08 03:15;0,0200;pobrana [kWh];
2023-10-08 03:30;0,0200;pobrana [kWh];
2023-10-08 03:45;0,0190;pobrana [kWh];
2023-10-08 04:00;0,0200;pobrana [kWh];
2023-10-08 04:15;0,0280;pobrana [kWh];
2023-10-08 04:30;0,0280;pobrana [kWh];
2023-10-08 04:45;0,0200;pobrana [kWh];
2023-10-08 05:00;0,0200;pobrana [kWh];
2023-10-08 05:15;0,0190;pobrana [kWh];
2023-10-08 05:30;0,0200;pobrana [kWh];
2023-10-08 05:45;0,0200;pobrana [kWh];
2023-10-08 06:00;0,0190;pobrana [kWh];
2023-10-08 06:15;0,0200;pobrana [kWh];
2023-10-08 06:30;0,0310;pobrana [kWh];
2023-10-08 06:45;0,0260;pobrana [kWh];
2023-10-08 07:00;0,0220;pobrana [kWh];
2023-10-08 07:15;0,0220;pobrana [kWh];
2023-10-08 07:30;0,0080;pobrana [kWh];
2023-10-08 07:45;0,0070;pobrana [kWh];
2023-10-08 08:00;0,0000;pobrana [kWh];
2023-10-08 08:15;0,0000;pobrana [kWh];
2023-10-08 08:30;0,0000;pobrana [kWh];
2023-10-08 08:45;0,0000;pobrana [kWh];
2023-10-08 09:00;0,0000;pobrana [kWh];
2023-10-08 09:15;0,0000;pobrana [kWh];
2023-10-08 09:30;0,0000;pobrana [kWh];
2023-10-08 09:45;0,0000;pobrana [kWh];
2023-10-08 10:00;0,0000;pobrana [kWh];
2023-10-08 10:15;0,0000;pobrana [kWh];
